title,industry
U-Blox Ag,Semiconductors
U-Blox Ag,Internet Of Things (Iot)
Salesforce Com Inc,Cloud Computing
Salesforce Com Inc,Enterprise Software
Salesforce Com Inc,Consulting
Nutonomy Inc,Automotive
Nlight Inc,Commercial And Industrial Lighting
Moderna Therapeutics,Biotechnology
Isight Partners Inc,Computer Security
Irobot Corp,Robotics
Escreen Inc,Health Care Diagnostics
Zynga Inc.,Video Game Industry
Zynga Inc.,Video Games
Zynga Inc,Video Game Industry
Zynga Inc,Video Games
"Zunum Aero, Inc.",Aerospace Industry
"Zunum Aero, Inc.",Aerospace
Zte Corporation,Nowrap
Zte Corporation,Telecommunications Equipment
Zte Corporation,Networking Equipment
Zscaler Inc,Network Security
Zscaler Inc,Computer Security
Zscaler Inc,Internet Security
Zoox Inc,Automotive Industry
Zoox Inc,Automotive
Zone Tech Pty Ltd,Plainlist
Zone Tech Pty Ltd,Electronics  Home Appliances
Zoetis Services Llc,Biopharmaceutical
Zipline International Inc,Logistics
Zhongke Zhang,Semiconductor Technology Industry
Zevo Golf Inc,Retail
Zevo Golf Co Inc,Retail
Zevo Golf,Retail
Zerofox Inc,Cyber Security
"Zentiva, K.S.",Pharmaceuticals
Zenith Electronics Llc,Technology
Zenith Electronics Llc,Technology Licensing
Zeneca Ltd,Pharmaceutical Industry
Zeneca Ltd,Pharmaceutical
Zeneca Ltd,Biotechnology
Zendrive Inc,Venture Capital
Zeiss Carl Smt Gmbh,Semiconductor Manufacturing Technology
Zeeland Refinery N V,Unbulleted List
Zeeland Refinery N V,Petroleum Industry
Zeeland Refinery N V,Petroleum
Zeeland Refinery N V,Energy Industry
Zeeland Refinery N V,Energy
Zeekit Online Shopping Ltd,Retail
Zak Fathi,Martial Arts Promotion
Zte Usa Inc,Telecommunications
Zte Corp,Nowrap
Zte Corp,Telecommunications Equipment
Zte Corp,Networking Equipment
Zf Friedrichshafen Ag,Engineering & Manufacturing:
Zf Friedrichshafen Ag,Automotive Industry (Car And Cv)
Zf Friedrichshafen Ag,
Zf Friedrichshafen Ag,Rail Transport
Zf Friedrichshafen Ag,Naval Architecture
Zf Friedrichshafen Ag,Marine Engineering
Zf Friedrichshafen Ag,Aviation
Yulong Computer Telecommunication Scientific Shenzhen Co Ltd,Consumer Electronics
Yokogawa Electric Corp,Electrical Equipment
Yokogawa Electric Corp,Information Technology
Yokogawa Electric Corp,It
Ykk Corp,Manufacturing
Yazaki Corp,Automotive Industry
Yazaki Corp,Automotive
Yahoo Inc,Plainlist
Yahoo Inc,Internet  Computer Software
Yagyu Rubber Co Ltd,Motion Picture
Yagyu Rubber Co Ltd,Theatre
Yagyu Rubber Co Ltd,Television
Yagyu Rubber Co Ltd,Video Games
Xplore Technologies Corp,Technology
Xilinx Inc,Integrated Circuits
Xiaomi Inc,Plainlist
Xiaomi Inc,Consumer Electronics  Computer Hardware
Xetron Corp,Unbulleted List
Xetron Corp,Arms Industry
Xetron Corp,Arms
Xetron Corp,Aerospace Manufacturer
Xetron Corp,Aerospace
Xerox Corporation,Information Technology
Xerox Corp,Information Technology
Xamarin Inc,Software Industry
Xyz Imaging Inc,Conglomerate (Company)
Xyz Imaging Inc,Conglomerate
X Development Llc,Research And Development
Wyeth Llc,Plainlist
Wyeth Llc,Pharmaceuticals  Healthcare
Wyeth Holdings Llc,Plainlist
Wyeth Holdings Llc,Pharmaceuticals  Healthcare
Wyeth,Plainlist
Wyeth,Pharmaceuticals  Healthcare
World Color Press Inc,Commercial And Industrial Printing
Workhorse Group Inc,Transportation Industry
Workhorse Group Inc,Transportation
Workhorse Group Inc,Automotive Industry
Workhorse Group Inc,Automotive
Workhorse Group Inc,Aerospace Industry
Workhorse Group Inc,Aerospace
"Woodward, Inc.",Aerospace Engineering
"Woodward, Inc.",Aerospace
"Woodward, Inc.",Industrial
Woodward Inc,Aerospace Engineering
Woodward Inc,Aerospace
Woodward Inc,Industrial
Woodside Energy Technologies Pty Ltd,Oil And Gas Industry
Woodside Energy Technologies Pty Ltd,Oil And Gas
Wood Process Company Inc,Global Industry Classification Standard
Wood Process Company Inc,Industrials
Wizards Of Coast Inc,Unbulleted List
Wizards Of Coast Inc,Collectible Card Games
Wizards Of Coast Inc,Role-Playing Games
Wizards Of Coast Inc,Video Game Industry
Wizards Of Coast Inc,Video Games
Wizards Of Coast Inc,Magazines
Wistron Corp,Odm (Original Design Manufacturer)
Wisco Tailored Blanks Gmbh,Conglomerate (Company)
Wisco Tailored Blanks Gmbh,Conglomerate
Wireless Technology Solutions Llc,Technology
Wipro Ltd,Conglomerate (Company)
Wipro Ltd,Conglomerate
Wintek Corp,Consumer Electronics
Wing Aviation Llc,Aviation
Wing Aviation Llc,Logistics
Wincor Nixdorf International Gmbh,Information Technology
Winbond Electronics Corp,Semiconductor
Wilson T Price,Investment Management
"Williams Innovations, Llc",Gambling
"Williams Innovations, Llc",Gaming Technology
"William H. Stutz, Jr.",Automotive Industry
"William H. Stutz, Jr.",Automotive
Wild Energy Inc,Coal Mining
Wild Energy Inc,Natural Gas
Wild Energy Inc,Natural Gas Production
Witricity Corp,Wireless Power Transfer
Whitaker Corp,Finance And Mortgage
Wfs Technologies Ltd,Subsea Wireless Local Area Networks (Wlan)
Wework Cos Inc,Commercial Property
Wework Cos Inc,Commercial Real Estate
Westerngeco Seismic Holdings Ltd.,Petroleum Reservoir#Oil Field
Westerngeco Seismic Holdings Ltd.,Oilfield Services And Equipment
Western Digital Technologies Inc,Computer Data Storage
Western Digital Technologies Inc,Computer Storage
Wenpeng Chen,Social Networking Service
Wellen Sham,Automotive Industry
Wellen Sham,Automotive
Wellcome Found,Retailing
Wella Ag,Fast-Moving Consumer Goods
Wella Ag,Consumer Goods
Websense Inc,Cyber Security
Webasto Se,Automotive
Wayne Fueling Systems Llc,Manufacturing
Waymo Llc,Autonomous Cars
Wavion Ltd,Software
Wavecrest Lab Llc,Unbulleted List
Wavecrest Lab Llc,Pharmaceutical Industry
Wavecrest Lab Llc,Pharmaceutical
Wavecrest Lab Llc,Medical Technology
Wavecrest Lab Llc,Consumer Products
Wavecrest Lab Llc,Consumer Healthcare
Wave Computing Inc,Computer Hardware
Waupaca Foundry Inc,Foundry
"Water Standard Company, Llc",Rail Transport
Wang Laboratories Inc,Computer Hardware
Walther Carl Gmbh,Firearms
Walther Carl Gmbh,Sporting Goods
Walter M Boothby,Health Care
Walmart Inc,Retail
Walmart Apollo Llc,Photography Products
Walmart Apollo Llc,Printing
"Walker Digital, Llc",Research And Development
"Walker Digital, Llc",Research & Development
Walgreen Co,Retail
Wahoo Communications Corporation,Film Industry
Wahoo Communications Corporation,Film
Wahoo Communications Corp,Restaurants
Wahoo Communications Corp,Real Estate
Wachovia Capital Finance Corp Central,Financial Services
Winchester Repeating Arms Co,Weapons
Willys Overland Motors Inc,Automotive Industry
Willys Overland Motors Inc,Automotive
Wi-Tronix Llc,Landscape And Lighting
Whitebox Inc,Robotics
White Automatic Gun Corp,Manufacturing
W2W Llc,Industrial Supply Distribution
W R Grace And Co,Raw Materials
Vricon Systems Ab,Aerospace And Defense (Military)
Vricon Systems Ab,Defence
Vought Corp,Aerospace
Vought Aircraft Industries Inc,Aerospace
Vossloh Cogifer Sa,Rail Infrastructure
Volvo Truck Corp,Automotive Industry
Volvo Truck Corp,Automotive
