patentid,countrycode
US7635039B2,US
US4904344A,US
US7982327B2,US
US6607353B2,US
US7030354B2,US
US7226053B2,US
US5911680A,US
US5915923A,US
US6668540B2,US
US6064046A,US
US8656699B2,US
US9884536B2,US
US6919956B2,US
US8217624B2,US
US8517681B2,US
US6254346B1,US
US6659704B2,US
US6138378A,US
US7859100B2,US
US4830709A,US
US6731716B2,US
US5711769A,US
US6772581B2,US
US4980979A,US
US8308442B2,US
US6023930A,US
US8734110B2,US
US6973790B2,US
US5065529A,US
US8491838B2,US
US8023281B2,US
US6708727B2,US
US5101577A,US
US6907736B2,US
US5970666A,US
US8167078B2,US
US9816483B2,US
US8883107B2,US
US4559105A,US
US6198993B1,US
US8742617B2,US
US8406978B2,US
US4673461A,US
US8306776B2,US
US4617091A,US
US6860109B2,US
US4943351A,US
US6053701A,US
US9757816B2,US
US6887036B2,US
US8545145B2,US
US6565682B2,US
US5060357A,US
US7987668B2,US
US6276165B1,US
US6449957B1,US
US6133499A,US
US5894938A,US
US6418866B1,US
US8366323B2,US
US6257830B1,US
US5037509A,US
US7481614B2,US
US6306257B1,US
US7883312B2,US
US6212468B1,US
US6501267B1,US
US5996356A,US
US9850913B2,US
US7040176B2,US
US5873695A,US
US4539072A,US
US8419373B1,US
US5832625A,US
US5884498A,US
US6408780B1,US
US9003954B2,US
US6786488B2,US
US5785496A,US
US4918836A,US
US6120244A,US
US8901893B2,US
US6631614B2,US
US8573343B2,US
US6004432A,US
US6602328B2,US
US6470964B1,US
US6412548B1,US
US6036440A,US
US8421486B2,US
US9090355B2,US
US6821104B2,US
US6453988B1,US
US6619072B2,US
US7655326B2,US
US4882854A,US
US6438939B1,US
US7239736B2,US
US8579561B2,US
US8312703B2,US
US4556451A,US
US8208143B2,US
US6878952B1,US
US6419443B2,US
US4790909A,US
US6039531A,US
US6732530B2,US
US4879001A,US
US4905379A,US
US4793899A,US
US8480353B2,US
US5762759A,US
US8247917B2,US
US8227932B2,US
US8601804B2,US
US8502406B2,US
US5746843A,US
US7122264B2,US
US6484797B2,US
US8749089B2,US
US8523520B2,US
US5851245A,US
US6244231B1,US
US8172959B2,US
US8632303B2,US
US6498324B2,US
US5899806A,US
US5809768A,US
US8607451B2,US
US6449955B2,US
US6471213B1,US
US6076369A,US
US8198749B2,US
US4836894A,US
US6534024B2,US
US7256155B2,US
US4704192A,US
US6372091B2,US
US6172323B1,US
US6173561B1,US
US5601692A,US
US6538259B2,US
US5881558A,US
US4821384A,US
US6659716B1,US
US5947687A,US
US4510698A,US
US8334613B2,US
US7348503B2,US
US6044900A,US
US8398944B2,US
US8355829B2,US
US4891348A,US
US7257185B1,US
US8701420B2,US
US8028511B2,US
US6099244A,US
US4662398A,US
US8805570B2,US
US5401364A,US
US8123409B2,US
US6079161A,US
US7677838B2,US
US6470916B1,US
US9318935B2,US
US6635095B2,US
US6138514A,US
US6109019A,US
US6252775B1,US
US6898258B2,US
US5924400A,US
US6068443A,US
US6736596B2,US
US9644631B2,US
US6409483B2,US
US9494149B2,US
US6264426B1,US
US8079803B2,US
US6511621B2,US
US8476780B2,US
US8580427B2,US
US4869735A,US
US6763664B2,US
US5869419A,US
US7770697B2,US
US8506683B2,US
US8286420B2,US
US8661827B2,US
US8842436B2,US
US7833932B1,US
US5211909A,US
US4945655A,US
US8720056B2,US
US6065619A,US
US8784046B2,US
US6438904B1,US
US8101933B2,US
US8461707B2,US
US6092991A,US
US6984801B2,US
US4750523A,US
US6851364B1,US
US6129140A,US
US6772982B2,US
US5911920A,US
US6424151B2,US
US8718832B2,US
US8360053B2,US
US4679287A,US
US4440214A,US
US4837907A,US
US8789275B2,US
US8450868B2,US
US4510859A,US
US8257060B2,US
US7102113B2,US
US6773340B2,US
US9566870B2,US
US4815220A,US
US8454925B2,US
US8217360B2,US
US8308434B2,US
US5192591A,US
US4761309A,US
US5895634A,US
US8427110B2,US
US5641387A,US
US4566945A,US
US8209913B2,US
US4807371A,US
US6192299B1,US
US8490379B2,US
US8085404B2,US
US6491885B1,US
US8917060B2,US
US7177384B2,US
US6460339B2,US
US6463729B2,US
US6789428B2,US
US5887358A,US
US5031338A,US
US8887868B2,US
US8607547B2,US
US5951250A,US
US8459944B2,US
US8529206B2,US
US4874470A,US
US8698342B2,US
US6476624B1,US
US6092983A,US
US8435019B2,US
US8652670B2,US
US6810669B2,US
US9243939B2,US
US6550334B2,US
US6089826A,US
US6271878B1,US
US8958934B2,US
US6288510B1,US
US6744547B2,US
US5225042A,US
US6810835B2,US
US9108743B2,US
US7810384B2,US
US6233957B1,US
US8353172B2,US
US4895633A,US
US8227695B2,US
US6569269B1,US
US6513462B1,US
US9136726B2,US
US6698930B2,US
US6149713A,US
US10205502B2,US
US6209326B1,US
US8899931B2,US
US7326286B2,US
US5997806A,US
US5372497A,US
US8502402B2,US
US6907722B2,US
US8109150B2,US
US8359859B2,US
US7917342B2,US
US7323125B2,US
US9719419B2,US
US7935939B2,US
US6932952B2,US
US6286328B1,US
US8405497B2,US
US7692326B2,US
US9863637B2,US
US8723375B2,US
US8514055B2,US
US10197003B2,US
US5933977A,US
US8133012B2,US
US7814742B2,US
US5947683A,US
US6896851B1,US
US8222724B2,US
US7300263B2,US
US8556590B2,US
US7160400B2,US
US6282883B1,US
US5011578A,US
US6916551B2,US
US8122720B2,US
US6425257B1,US
US6029739A,US
US8479520B2,US
US5901549A,US
US6116017A,US
US6012401A,US
US4601794A,US
US8222758B2,US
US5329849A,US
US8337960B2,US
US6347910B1,US
US5087325A,US
US7973439B2,US
US8826666B2,US
US8038563B2,US
US5199991A,US
US6742577B2,US
US7064323B2,US
US7658600B2,US
US5512139A,US
US6257034B1,US
US6382732B1,US
US8904794B2,US
US9103438B2,US
US7805923B2,US
US5015500A,US
US9581045B2,US
US5665163A,US
US6457313B1,US
US5840263A,US
US8800296B2,US
US4891891A,US
US8097992B2,US
US6558636B2,US
US7208421B2,US
US8596614B2,US
US8468807B2,US
US5820336A,US
US7707814B2,US
US7932496B2,US
US5507917A,US
US8413715B2,US
US9155993B2,US
US8210810B2,US
US8523521B2,US
US6482351B2,US
US9624788B2,US
US7908866B2,US
US9429412B2,US
US8414262B2,US
US8502405B2,US
US6727510B2,US
US4852229A,US
US5944922A,US
US8742709B2,US
US5111563A,US
US9322388B2,US
US6677547B2,US
US8020379B2,US
US5700357A,US
US6164075A,US
US7690234B2,US
US9696718B2,US
US6092780A,US
US7797921B2,US
US6991429B2,US
US6862888B2,US
US6032713A,US
US10464441B2,US
US8403644B2,US
US8684682B2,US
US5779447A,US
US5918574A,US
US8381668B2,US
US6614000B1,US
US6079944A,US
US9661718B2,US
US8001760B2,US
US6863875B1,US
US5916414A,US
US6322643B1,US
US8161889B2,US
US6007299A,US
US6516824B2,US
US7755777B2,US
US8800354B2,US
US5678321A,US
