patentid,assignee_name_current
US8192168B2,General Electric Co
US6165600A,General Electric Co
US4292802A,General Electric Co
US6291084B1,General Electric Co
US7522701B2,General Electric Co
US7731805B2,"Haier Us Appliance Solutions, Inc."
US5644085A,General Electric Co
US5805973A,Careguard Llc
US5805973A,General Electric Co
US5233713A,General Electric Co
US4105063A,Chemical Bank
US5860550A,Insight Pharmaceuticals Llc
US3768924A,General Electric Co
US3692812A,General Electric Co
US7553534B2,General Electric Co
US3909045A,Trane Us Inc
US5552352A,General Electric Co
US5749701A,General Electric Co
US6423768B1,Sabic Innovative Plastics Ip Bv
US5438882A,General Electric Co
US6304426B1,General Electric Co
US8398743B2,Bha Altair Llc
US3925979A,General Electric Co
US6331098B1,General Electric Co
US5859519A,General Electric Co
US5363556A,General Electric Co
US7175389B2,General Electric Co
US3844115A,General Electric Co
US5651044A,General Electric Co
US6973396B1,General Electric Co
US5590529A,General Electric Co
US6048315A,General Electric Co
US5509784A,Ge Industrial & Power Systems
US5509784A,General Electric Co
US7492980B2,General Electric Co
US6056693A,General Electric Co
US6601066B1,Sabic Innovative Plastics Ip Bv
US3921630A,Kendall Mcgraw Laboratories Inc
US3921630A,General Electric Capital Corp
US3811278A,General Electric Co
US8740793B2,General Electric Co
US7815820B2,Ge Global Sourcing Llc
US7749164B2,General Electric Co
US6558122B1,General Electric Co
US4315251A,General Electric Co
US6420032B1,Sabic Innovative Plastics Ip Bv
US8839628B2,General Electric Co
US8063527B2,General Electric Co
US2297305A,General Electric Co
US5079884A,National Gypsum Co
US3892612A,General Electric Co
US7197430B2,General Electric Co
US7189972B2,General Electric Co
US5241471A,General Electric Cgr Sa
US6846158B2,General Electric Co
US6682299B2,General Electric Co
US7571608B2,Ge Global Sourcing Llc
US6312394B1,Manan Medical Products Inc
US5399614A,General Electric Co
US7696722B2,General Electric Co
US5311569A,Nokia Bell Labs
US5311569A,At&T Corp
US5311569A,General Electric Capital Corp
US5226789A,General Electric Co
US5364060A,Jason Inc
US3503186A,General Electric Co
US5760904A,General Electric Co
US5164976A,General Electric Co
US4137705A,General Electric Co
US4296413A,Chemical Bank
US4296413A,Trane International Inc
US6601542B2,Aggreko Llc
US6474069B1,General Electric Co
US8561405B2,Ai Alpine Us Bidco Inc
US8069634B2,General Electric Co
US8069634B2,Ge Wind Energy Llc
US6066405A,General Electric Co
US5416815A,General Electric Co
US6404851B1,General Electric Co
US7415145B2,General Electric Co
US7246992B2,General Electric Co
US6637643B2,General Electric Co
US7337634B2,"Haier Us Appliance Solutions, Inc."
US7036302B2,General Electric Co
US7752836B2,General Electric Co
US7891947B2,General Electric Co
US5303880A,General Electric Co
US5481532A,Nbcuniversal Media Llc
US7897296B2,General Electric Co
US6259340B1,General Electric Co
US2368451A,General Electric Co
US2828231A,General Electric Co
US2650310A,General Electric Co
US2391718A,General Electric Co
US6897655B2,General Electric Co
US6897655B2,Leland Stanford Junior University
US7831096B2,Stryker European Holdings I Llc
US3849023A,General Electric Co
US6991430B2,General Electric Co
US7006978B2,Ge Capital Us Holdings Inc
US7263710B1,General Electric Co
US3840763A,General Electric Co
US7291403B2,General Electric Co
US7095129B2,General Electric Co
US7514810B2,General Electric Co
US8504226B2,Ge Global Sourcing Llc
US6727302B2,Sabic Innovative Plastics Ip Bv
US5569399A,General Electric Co
US4297741A,General Electric Co
US5981661A,Sabic Global Technologies Bv
US6910853B2,General Electric Co
US6623140B2,Icon Health And Fitness Inc
US7153576B2,Vixs Inc
US7153576B2,Sabic Innovative Plastics Ip Bv
