patentid,issuing_country
US7635039B2,United States of America
US4904344A,United States of America
US7982327B2,United States of America
US6607353B2,United States of America
US7030354B2,United States of America
US7226053B2,United States of America
US5911680A,United States of America
US5915923A,United States of America
US6668540B2,United States of America
US6064046A,United States of America
US8656699B2,United States of America
US9884536B2,United States of America
US6919956B2,United States of America
US8217624B2,United States of America
US8517681B2,United States of America
US6254346B1,United States of America
US6659704B2,United States of America
US6138378A,United States of America
US7859100B2,United States of America
US4830709A,United States of America
US6731716B2,United States of America
US5711769A,United States of America
US6772581B2,United States of America
US4980979A,United States of America
US8308442B2,United States of America
US6023930A,United States of America
US8734110B2,United States of America
US6973790B2,United States of America
US5065529A,United States of America
US8491838B2,United States of America
US8023281B2,United States of America
US6708727B2,United States of America
US5101577A,United States of America
US6907736B2,United States of America
US5970666A,United States of America
US8167078B2,United States of America
US9816483B2,United States of America
US8883107B2,United States of America
US4559105A,United States of America
US6198993B1,United States of America
US8742617B2,United States of America
US8406978B2,United States of America
US4673461A,United States of America
US8306776B2,United States of America
US4617091A,United States of America
US6860109B2,United States of America
US4943351A,United States of America
US6053701A,United States of America
US9757816B2,United States of America
US6887036B2,United States of America
US8545145B2,United States of America
US6565682B2,United States of America
US5060357A,United States of America
US7987668B2,United States of America
US6276165B1,United States of America
US6449957B1,United States of America
US6133499A,United States of America
US5894938A,United States of America
US6418866B1,United States of America
US8366323B2,United States of America
US6257830B1,United States of America
US5037509A,United States of America
US7481614B2,United States of America
US6306257B1,United States of America
US7883312B2,United States of America
US6212468B1,United States of America
US6501267B1,United States of America
US5996356A,United States of America
US9850913B2,United States of America
US7040176B2,United States of America
US5873695A,United States of America
US4539072A,United States of America
US8419373B1,United States of America
US5832625A,United States of America
US5884498A,United States of America
US6408780B1,United States of America
US9003954B2,United States of America
US6786488B2,United States of America
US5785496A,United States of America
US4918836A,United States of America
US6120244A,United States of America
US8901893B2,United States of America
US6631614B2,United States of America
US8573343B2,United States of America
US6004432A,United States of America
US6602328B2,United States of America
US6470964B1,United States of America
US6412548B1,United States of America
US6036440A,United States of America
US8421486B2,United States of America
US9090355B2,United States of America
US6821104B2,United States of America
US6453988B1,United States of America
US6619072B2,United States of America
US7655326B2,United States of America
US4882854A,United States of America
US6438939B1,United States of America
US7239736B2,United States of America
US8579561B2,United States of America
US8312703B2,United States of America
US4556451A,United States of America
US8208143B2,United States of America
US6878952B1,United States of America
US6419443B2,United States of America
US4790909A,United States of America
US6039531A,United States of America
US6732530B2,United States of America
US4879001A,United States of America
US4905379A,United States of America
US4793899A,United States of America
US8480353B2,United States of America
US5762759A,United States of America
US8247917B2,United States of America
US8227932B2,United States of America
US8601804B2,United States of America
US8502406B2,United States of America
US5746843A,United States of America
US7122264B2,United States of America
US6484797B2,United States of America
US8749089B2,United States of America
US8523520B2,United States of America
US5851245A,United States of America
US6244231B1,United States of America
US8172959B2,United States of America
US8632303B2,United States of America
US6498324B2,United States of America
US5899806A,United States of America
US5809768A,United States of America
US8607451B2,United States of America
US6449955B2,United States of America
US6471213B1,United States of America
US6076369A,United States of America
US8198749B2,United States of America
US4836894A,United States of America
US6534024B2,United States of America
US7256155B2,United States of America
US4704192A,United States of America
US6372091B2,United States of America
US6172323B1,United States of America
US6173561B1,United States of America
US5601692A,United States of America
US6538259B2,United States of America
US5881558A,United States of America
US4821384A,United States of America
US6659716B1,United States of America
US5947687A,United States of America
US4510698A,United States of America
US8334613B2,United States of America
US7348503B2,United States of America
US6044900A,United States of America
US8398944B2,United States of America
US8355829B2,United States of America
US4891348A,United States of America
US7257185B1,United States of America
US8701420B2,United States of America
US8028511B2,United States of America
US6099244A,United States of America
US4662398A,United States of America
US8805570B2,United States of America
US5401364A,United States of America
US8123409B2,United States of America
US6079161A,United States of America
US7677838B2,United States of America
US6470916B1,United States of America
US9318935B2,United States of America
US6635095B2,United States of America
US6138514A,United States of America
US6109019A,United States of America
US6252775B1,United States of America
US6898258B2,United States of America
US5924400A,United States of America
US6068443A,United States of America
US6736596B2,United States of America
US9644631B2,United States of America
US6409483B2,United States of America
US9494149B2,United States of America
US6264426B1,United States of America
US8079803B2,United States of America
US6511621B2,United States of America
US8476780B2,United States of America
US8580427B2,United States of America
US4869735A,United States of America
US6763664B2,United States of America
US5869419A,United States of America
US7770697B2,United States of America
US8506683B2,United States of America
US8286420B2,United States of America
US8661827B2,United States of America
US8842436B2,United States of America
US7833932B1,United States of America
US5211909A,United States of America
US4945655A,United States of America
US8720056B2,United States of America
US6065619A,United States of America
US8784046B2,United States of America
US6438904B1,United States of America
US8101933B2,United States of America
US8461707B2,United States of America
US6092991A,United States of America
US6984801B2,United States of America
US4750523A,United States of America
US6851364B1,United States of America
US6129140A,United States of America
US6772982B2,United States of America
US5911920A,United States of America
US6424151B2,United States of America
US8718832B2,United States of America
US8360053B2,United States of America
US4679287A,United States of America
US4440214A,United States of America
US4837907A,United States of America
US8789275B2,United States of America
US8450868B2,United States of America
US4510859A,United States of America
US8257060B2,United States of America
US7102113B2,United States of America
US6773340B2,United States of America
US9566870B2,United States of America
US4815220A,United States of America
US8454925B2,United States of America
US8217360B2,United States of America
US8308434B2,United States of America
US5192591A,United States of America
US4761309A,United States of America
US5895634A,United States of America
US8427110B2,United States of America
US5641387A,United States of America
US4566945A,United States of America
US8209913B2,United States of America
US4807371A,United States of America
US6192299B1,United States of America
US8490379B2,United States of America
US8085404B2,United States of America
US6491885B1,United States of America
US8917060B2,United States of America
US7177384B2,United States of America
US6460339B2,United States of America
US6463729B2,United States of America
US6789428B2,United States of America
US5887358A,United States of America
US5031338A,United States of America
US8887868B2,United States of America
US8607547B2,United States of America
US5951250A,United States of America
US8459944B2,United States of America
US8529206B2,United States of America
US4874470A,United States of America
US8698342B2,United States of America
US6476624B1,United States of America
US6092983A,United States of America
US8435019B2,United States of America
US8652670B2,United States of America
US6810669B2,United States of America
US9243939B2,United States of America
US6550334B2,United States of America
US6089826A,United States of America
US6271878B1,United States of America
US8958934B2,United States of America
US6288510B1,United States of America
US6744547B2,United States of America
US5225042A,United States of America
US6810835B2,United States of America
US9108743B2,United States of America
US7810384B2,United States of America
US6233957B1,United States of America
US8353172B2,United States of America
US4895633A,United States of America
US8227695B2,United States of America
US6569269B1,United States of America
US6513462B1,United States of America
US9136726B2,United States of America
US6698930B2,United States of America
US6149713A,United States of America
US10205502B2,United States of America
US6209326B1,United States of America
US8899931B2,United States of America
US7326286B2,United States of America
US5997806A,United States of America
US5372497A,United States of America
US8502402B2,United States of America
US6907722B2,United States of America
US8109150B2,United States of America
US8359859B2,United States of America
US7917342B2,United States of America
US7323125B2,United States of America
US9719419B2,United States of America
US7935939B2,United States of America
US6932952B2,United States of America
US6286328B1,United States of America
US8405497B2,United States of America
US7692326B2,United States of America
US9863637B2,United States of America
US8723375B2,United States of America
US8514055B2,United States of America
US10197003B2,United States of America
US5933977A,United States of America
US8133012B2,United States of America
US7814742B2,United States of America
US5947683A,United States of America
US6896851B1,United States of America
US8222724B2,United States of America
US7300263B2,United States of America
US8556590B2,United States of America
US7160400B2,United States of America
US6282883B1,United States of America
US5011578A,United States of America
US6916551B2,United States of America
US8122720B2,United States of America
US6425257B1,United States of America
US6029739A,United States of America
US8479520B2,United States of America
US5901549A,United States of America
US6116017A,United States of America
US6012401A,United States of America
US4601794A,United States of America
US8222758B2,United States of America
US5329849A,United States of America
US8337960B2,United States of America
US6347910B1,United States of America
US5087325A,United States of America
US7973439B2,United States of America
US8826666B2,United States of America
US8038563B2,United States of America
US5199991A,United States of America
US6742577B2,United States of America
US7064323B2,United States of America
US7658600B2,United States of America
US5512139A,United States of America
US6257034B1,United States of America
US6382732B1,United States of America
US8904794B2,United States of America
US9103438B2,United States of America
US7805923B2,United States of America
US5015500A,United States of America
US9581045B2,United States of America
US5665163A,United States of America
US6457313B1,United States of America
US5840263A,United States of America
US8800296B2,United States of America
US4891891A,United States of America
US8097992B2,United States of America
US6558636B2,United States of America
US7208421B2,United States of America
US8596614B2,United States of America
US8468807B2,United States of America
US5820336A,United States of America
US7707814B2,United States of America
US7932496B2,United States of America
US5507917A,United States of America
US8413715B2,United States of America
US9155993B2,United States of America
US8210810B2,United States of America
US8523521B2,United States of America
US6482351B2,United States of America
US9624788B2,United States of America
US7908866B2,United States of America
US9429412B2,United States of America
US8414262B2,United States of America
US8502405B2,United States of America
US6727510B2,United States of America
US4852229A,United States of America
US5944922A,United States of America
US8742709B2,United States of America
US5111563A,United States of America
US9322388B2,United States of America
US6677547B2,United States of America
US8020379B2,United States of America
US5700357A,United States of America
US6164075A,United States of America
US7690234B2,United States of America
US9696718B2,United States of America
US6092780A,United States of America
US7797921B2,United States of America
US6991429B2,United States of America
US6862888B2,United States of America
US6032713A,United States of America
US10464441B2,United States of America
US8403644B2,United States of America
US8684682B2,United States of America
US5779447A,United States of America
US5918574A,United States of America
US8381668B2,United States of America
US6614000B1,United States of America
US6079944A,United States of America
US9661718B2,United States of America
US8001760B2,United States of America
US6863875B1,United States of America
US5916414A,United States of America
US6322643B1,United States of America
US8161889B2,United States of America
US6007299A,United States of America
US6516824B2,United States of America
US7755777B2,United States of America
US8800354B2,United States of America
US5678321A,United States of America
US6578689B2,United States of America
US6932693B2,United States of America
US6966188B2,United States of America
US9003800B2,United States of America
US4501197A,United States of America
US7416344B2,United States of America
US5730069A,United States of America
US8164211B2,United States of America
US4875976A,United States of America
US5144758A,United States of America
US5583420A,United States of America
US5967347A,United States of America
US6065931A,United States of America
US8088348B2,United States of America
US6331102B1,United States of America
US6502399B2,United States of America
US8596984B2,United States of America
US8562828B2,United States of America
US4495712A,United States of America
US8178988B2,United States of America
US10066532B2,United States of America
US7982330B1,United States of America
US5998904A,United States of America
US6656440B2,United States of America
US8074315B2,United States of America
US6685516B2,United States of America
US8196358B2,United States of America
US7275422B2,United States of America
US4974340A,United States of America
US7075315B2,United States of America
US8082748B2,United States of America
US6814345B2,United States of America
US4859439A,United States of America
US6267657B1,United States of America
US7990100B2,United States of America
US8319364B2,United States of America
US6151791A,United States of America
US6345724B1,United States of America
US8353113B2,United States of America
US8042386B2,United States of America
US4485567A,United States of America
US6223520B1,United States of America
US10527588B2,United States of America
US8341840B2,United States of America
US6431267B1,United States of America
US4823688A,United States of America
US7683556B2,United States of America
US8368238B2,United States of America
US9127693B2,United States of America
US8242618B2,United States of America
US7909572B2,United States of America
US7354663B2,United States of America
US8371976B2,United States of America
US4975152A,United States of America
US6220949B1,United States of America
US6361296B1,United States of America
US6065583A,United States of America
US8818471B2,United States of America
US5000926A,United States of America
US5919388A,United States of America
US8224600B2,United States of America
US6047551A,United States of America
US8561562B2,United States of America
US8397486B2,United States of America
US10177692B2,United States of America
US7501104B2,United States of America
US8460515B2,United States of America
US8353979B2,United States of America
US7695588B2,United States of America
US6474947B1,United States of America
US4941950A,United States of America
US9163838B2,United States of America
US8786867B2,United States of America
US8901457B2,United States of America
US9333563B2,United States of America
US4498249A,United States of America
US8043537B2,United States of America
US8867688B2,United States of America
US6030203A,United States of America
US8033791B1,United States of America
US8276273B2,United States of America
US8165738B2,United States of America
US8371030B2,United States of America
US5010840A,United States of America
US5840390A,United States of America
US7578666B2,United States of America
US7969052B2,United States of America
US6128895A,United States of America
US8657578B2,United States of America
US6531049B1,United States of America
US6789617B1,United States of America
US6880325B2,United States of America
US6006703A,United States of America
US8322289B2,United States of America
US8450867B2,United States of America
US6315969B1,United States of America
US6534211B1,United States of America
US8973361B2,United States of America
US8590464B2,United States of America
US9653924B2,United States of America
US10294912B2,United States of America
US5951824A,United States of America
US8979616B2,United States of America
